location,population,date,HighestInfectionCount,PercentPopulationInfected
Andorra,77265,2021-04-30,13232,17.1300
Andorra,77265,2021-04-29,13198,17.0800
Andorra,77265,2021-04-28,13148,17.0200
Andorra,77265,2021-04-27,13121,16.9800
Andorra,77265,2021-04-26,13083,16.9300
Andorra,77265,2021-04-25,13060,16.9000
Andorra,77265,2021-04-24,13024,16.8600
Andorra,77265,2021-04-23,13007,16.8300
Andorra,77265,2021-04-22,12942,16.7500
Andorra,77265,2021-04-21,12917,16.7200
Andorra,77265,2021-04-20,12874,16.6600
Andorra,77265,2021-04-18,12805,16.5700
Andorra,77265,2021-04-19,12805,16.5700
Andorra,77265,2021-04-17,12771,16.5300
Andorra,77265,2021-04-16,12712,16.4500
Andorra,77265,2021-04-14,12641,16.3600
Andorra,77265,2021-04-15,12641,16.3600
Andorra,77265,2021-04-13,12614,16.3300
Andorra,77265,2021-04-12,12581,16.2800
Andorra,77265,2021-04-11,12545,16.2400
Andorra,77265,2021-04-10,12497,16.1700
Andorra,77265,2021-04-09,12456,16.1200
Andorra,77265,2021-04-08,12409,16.0600
Andorra,77265,2021-04-07,12363,16.0000
Andorra,77265,2021-04-06,12328,15.9600
Andorra,77265,2021-04-05,12286,15.9000
Andorra,77265,2021-04-04,12231,15.8300
Andorra,77265,2021-04-03,12174,15.7600
Andorra,77265,2021-04-02,12115,15.6800
Andorra,77265,2021-04-01,12053,15.6000
Andorra,77265,2021-03-31,12010,15.5400
Montenegro,628062,2021-04-30,97389,15.5100
Montenegro,628062,2021-04-29,97257,15.4900
Montenegro,628062,2021-04-28,97080,15.4600
Andorra,77265,2021-03-30,11944,15.4600
Montenegro,628062,2021-04-27,96930,15.4300
Montenegro,628062,2021-04-26,96779,15.4100
Montenegro,628062,2021-04-25,96660,15.3900
Andorra,77265,2021-03-29,11888,15.3900
Montenegro,628062,2021-04-24,96499,15.3600
Montenegro,628062,2021-04-23,96348,15.3400
Andorra,77265,2021-03-28,11850,15.3400
Montenegro,628062,2021-04-22,96187,15.3100
Montenegro,628062,2021-04-21,96048,15.2900
Andorra,77265,2021-03-27,11809,15.2800
Montenegro,628062,2021-04-20,95894,15.2700
Montenegro,628062,2021-04-19,95695,15.2400
Czechia,10708982,2021-04-30,1630758,15.2300
Czechia,10708982,2021-04-29,1628536,15.2100
Montenegro,628062,2021-04-18,95551,15.2100
Montenegro,628062,2021-04-17,95377,15.1900
Czechia,10708982,2021-04-28,1626033,15.1800
Andorra,77265,2021-03-26,11732,15.1800
Montenegro,628062,2021-04-16,95205,15.1600
Czechia,10708982,2021-04-27,1622777,15.1500
Czechia,10708982,2021-04-26,1620206,15.1300
Andorra,77265,2021-03-25,11687,15.1300
Montenegro,628062,2021-04-15,95042,15.1300
Czechia,10708982,2021-04-25,1619383,15.1200
Czechia,10708982,2021-04-24,1618068,15.1100
Montenegro,628062,2021-04-14,94859,15.1000
Czechia,10708982,2021-04-23,1615461,15.0900
Montenegro,628062,2021-04-13,94643,15.0700
Czechia,10708982,2021-04-22,1612832,15.0600
Andorra,77265,2021-03-24,11638,15.0600
Czechia,10708982,2021-04-21,1609861,15.0300
Montenegro,628062,2021-04-12,94419,15.0300
Montenegro,628062,2021-04-11,94269,15.0100
Czechia,10708982,2021-04-20,1606030,15.0000
Andorra,77265,2021-03-23,11591,15.0000
Czechia,10708982,2021-04-19,1602711,14.9700
Montenegro,628062,2021-04-10,94035,14.9700
Czechia,10708982,2021-04-18,1601881,14.9600
Czechia,10708982,2021-04-17,1600341,14.9400
Andorra,77265,2021-03-22,11545,14.9400
Montenegro,628062,2021-04-09,93803,14.9400
"San Marino",33938,2021-04-30,5066,14.9300
"San Marino",33938,2021-04-28,5059,14.9100
"San Marino",33938,2021-04-29,5060,14.9100
Andorra,77265,2021-03-21,11517,14.9100
Czechia,10708982,2021-04-16,1597103,14.9100
"San Marino",33938,2021-04-27,5058,14.9000
Montenegro,628062,2021-04-08,93566,14.9000
"San Marino",33938,2021-04-26,5055,14.8900
Czechia,10708982,2021-04-15,1593847,14.8800
"San Marino",33938,2021-04-22,5045,14.8700
"San Marino",33938,2021-04-23,5047,14.8700
"San Marino",33938,2021-04-24,5047,14.8700
"San Marino",33938,2021-04-25,5047,14.8700
"San Marino",33938,2021-04-21,5044,14.8600
Andorra,77265,2021-03-20,11481,14.8600
Montenegro,628062,2021-04-07,93309,14.8600
"San Marino",33938,2021-04-20,5040,14.8500
Czechia,10708982,2021-04-14,1590124,14.8500
"San Marino",33938,2021-04-19,5030,14.8200
"San Marino",33938,2021-04-17,5026,14.8100
"San Marino",33938,2021-04-18,5026,14.8100
Montenegro,628062,2021-04-06,93030,14.8100
Czechia,10708982,2021-04-13,1585037,14.8000
Andorra,77265,2021-03-19,11431,14.7900
"San Marino",33938,2021-04-16,5016,14.7800
Czechia,10708982,2021-04-12,1581184,14.7700
Montenegro,628062,2021-04-05,92740,14.7700
"San Marino",33938,2021-04-15,5010,14.7600
Czechia,10708982,2021-04-11,1580189,14.7600
Andorra,77265,2021-03-18,11393,14.7500
Czechia,10708982,2021-04-10,1577972,14.7400
"San Marino",33938,2021-04-14,5004,14.7400
Montenegro,628062,2021-04-04,92519,14.7300
Andorra,77265,2021-03-17,11360,14.7000
Czechia,10708982,2021-04-09,1573153,14.6900
"San Marino",33938,2021-04-13,4985,14.6900
Montenegro,628062,2021-04-03,92222,14.6800
Andorra,77265,2021-03-16,11319,14.6500
Czechia,10708982,2021-04-08,1567848,14.6400
Montenegro,628062,2021-04-02,91906,14.6300
"San Marino",33938,2021-04-12,4962,14.6200
Andorra,77265,2021-03-15,11289,14.6100
"San Marino",33938,2021-04-10,4956,14.6000
"San Marino",33938,2021-04-11,4956,14.6000
Andorra,77265,2021-03-14,11266,14.5800
Montenegro,628062,2021-04-01,91573,14.5800
"San Marino",33938,2021-04-09,4944,14.5700
Czechia,10708982,2021-04-07,1560777,14.5700
Andorra,77265,2021-03-13,11228,14.5300
"San Marino",33938,2021-04-08,4932,14.5300
Montenegro,628062,2021-03-31,91218,14.5200
Czechia,10708982,2021-04-06,1555245,14.5200
Czechia,10708982,2021-04-05,1553820,14.5100
Czechia,10708982,2021-04-04,1551896,14.4900
Andorra,77265,2021-03-12,11199,14.4900
Czechia,10708982,2021-04-03,1549734,14.4700
Montenegro,628062,2021-03-30,90832,14.4600
"San Marino",33938,2021-04-07,4904,14.4500
Czechia,10708982,2021-04-02,1545865,14.4400
Andorra,77265,2021-03-10,11130,14.4000
Andorra,77265,2021-03-11,11130,14.4000
Montenegro,628062,2021-03-29,90418,14.4000
Czechia,10708982,2021-04-01,1539617,14.3800
Andorra,77265,2021-03-09,11089,14.3500
Montenegro,628062,2021-03-28,90083,14.3400
Andorra,77265,2021-03-08,11069,14.3300
"San Marino",33938,2021-04-06,4864,14.3300
Czechia,10708982,2021-03-31,1532332,14.3100
Andorra,77265,2021-03-07,11042,14.2900
Montenegro,628062,2021-03-27,89732,14.2900
Andorra,77265,2021-03-06,11019,14.2600
Andorra,77265,2021-03-05,10998,14.2300
Czechia,10708982,2021-03-30,1523668,14.2300
Montenegro,628062,2021-03-26,89363,14.2300
Andorra,77265,2021-03-04,10976,14.2100
Andorra,77265,2021-03-03,10948,14.1700
Montenegro,628062,2021-03-25,88991,14.1700
Czechia,10708982,2021-03-29,1516772,14.1600
Czechia,10708982,2021-03-28,1515029,14.1500
Andorra,77265,2021-03-02,10908,14.1200
Czechia,10708982,2021-03-27,1511021,14.1100
Montenegro,628062,2021-03-24,88550,14.1000
Andorra,77265,2021-03-01,10889,14.0900
"San Marino",33938,2021-04-02,4775,14.0700
"San Marino",33938,2021-04-03,4775,14.0700
"San Marino",33938,2021-04-04,4775,14.0700
"San Marino",33938,2021-04-05,4775,14.0700
Andorra,77265,2021-02-28,10866,14.0600
Andorra,77265,2021-02-27,10849,14.0400
Czechia,10708982,2021-03-26,1503307,14.0400
Montenegro,628062,2021-03-23,88116,14.0300
Andorra,77265,2021-02-26,10822,14.0100
Andorra,77265,2021-02-25,10799,13.9800
Czechia,10708982,2021-03-25,1495361,13.9600
Andorra,77265,2021-02-24,10775,13.9500
Montenegro,628062,2021-03-22,87638,13.9500
"San Marino",33938,2021-03-31,4730,13.9400
"San Marino",33938,2021-04-01,4730,13.9400
Andorra,77265,2021-02-23,10739,13.9000
Montenegro,628062,2021-03-21,87212,13.8900
Czechia,10708982,2021-03-24,1486510,13.8800
Andorra,77265,2021-02-22,10712,13.8600
Andorra,77265,2021-02-21,10699,13.8500
Montenegro,628062,2021-03-20,86782,13.8200
Andorra,77265,2021-02-20,10672,13.8100
Andorra,77265,2021-02-19,10645,13.7800
Czechia,10708982,2021-03-23,1475538,13.7800
"San Marino",33938,2021-03-30,4678,13.7800
Montenegro,628062,2021-03-19,86282,13.7400
Andorra,77265,2021-02-18,10610,13.7300
Czechia,10708982,2021-03-21,1469547,13.7200
Czechia,10708982,2021-03-22,1467333,13.7000
Andorra,77265,2021-02-17,10583,13.7000
Andorra,77265,2021-02-16,10555,13.6600
Montenegro,628062,2021-03-18,85774,13.6600
"San Marino",33938,2021-03-29,4631,13.6500
Andorra,77265,2021-02-15,10538,13.6400
Czechia,10708982,2021-03-20,1459406,13.6300
Andorra,77265,2021-02-14,10503,13.5900
Montenegro,628062,2021-03-17,85253,13.5700
"San Marino",33938,2021-03-27,4603,13.5600
"San Marino",33938,2021-03-28,4603,13.5600
Andorra,77265,2021-02-13,10463,13.5400
Czechia,10708982,2021-03-19,1449696,13.5400
Andorra,77265,2021-02-12,10427,13.5000
Montenegro,628062,2021-03-16,84700,13.4900
Andorra,77265,2021-02-11,10391,13.4500
Czechia,10708982,2021-03-18,1439019,13.4400
Andorra,77265,2021-02-10,10352,13.4000
Montenegro,628062,2021-03-15,84163,13.4000
"San Marino",33938,2021-03-26,4547,13.4000
Andorra,77265,2021-02-09,10312,13.3500
Czechia,10708982,2021-03-17,1426991,13.3300
Montenegro,628062,2021-03-14,83693,13.3300
Andorra,77265,2021-02-08,10275,13.3000
Andorra,77265,2021-02-07,10251,13.2700
Montenegro,628062,2021-03-13,83165,13.2400
"San Marino",33938,2021-03-24,4484,13.2100
"San Marino",33938,2021-03-25,4484,13.2100
Andorra,77265,2021-02-06,10206,13.2100
Czechia,10708982,2021-03-16,1412962,13.1900
Andorra,77265,2021-02-05,10172,13.1700
Montenegro,628062,2021-03-12,82610,13.1500
Andorra,77265,2021-02-04,10137,13.1200
Czechia,10708982,2021-03-15,1402420,13.1000
Czechia,10708982,2021-03-14,1399078,13.0600
Montenegro,628062,2021-03-11,82029,13.0600
"San Marino",33938,2021-03-23,4432,13.0600
Andorra,77265,2021-02-03,10070,13.0300
Czechia,10708982,2021-03-13,1392108,13.0000
Montenegro,628062,2021-03-10,81457,12.9700
Andorra,77265,2021-02-02,10017,12.9600
"San Marino",33938,2021-03-22,4388,12.9300
Andorra,77265,2021-02-01,9972,12.9100
Montenegro,628062,2021-03-09,80803,12.8700
Andorra,77265,2021-01-31,9937,12.8600
Czechia,10708982,2021-03-12,1376998,12.8600
"San Marino",33938,2021-03-20,4356,12.8400
"San Marino",33938,2021-03-21,4356,12.8400
Andorra,77265,2021-01-30,9885,12.7900
Montenegro,628062,2021-03-08,80191,12.7700
"San Marino",33938,2021-03-19,4328,12.7500
Czechia,10708982,2021-03-11,1365724,12.7500
Andorra,77265,2021-01-29,9837,12.7300
Montenegro,628062,2021-03-07,79774,12.7000
Andorra,77265,2021-01-28,9779,12.6600
"San Marino",33938,2021-03-18,4292,12.6500
Montenegro,628062,2021-03-06,79237,12.6200
Czechia,10708982,2021-03-10,1351195,12.6200
Andorra,77265,2021-01-27,9716,12.5700
"San Marino",33938,2021-03-17,4249,12.5200
Montenegro,628062,2021-03-05,78634,12.5200
Andorra,77265,2021-01-26,9638,12.4700
Czechia,10708982,2021-03-09,1335815,12.4700
Montenegro,628062,2021-03-04,78060,12.4300
Andorra,77265,2021-01-25,9596,12.4200
"San Marino",33938,2021-03-16,4204,12.3900
Czechia,10708982,2021-03-08,1325291,12.3800
Andorra,77265,2021-01-24,9549,12.3600
Czechia,10708982,2021-03-07,1321331,12.3400
Montenegro,628062,2021-03-03,77493,12.3400
Andorra,77265,2021-01-23,9499,12.2900
Czechia,10708982,2021-03-06,1312164,12.2500
Montenegro,628062,2021-03-02,76868,12.2400
"San Marino",33938,2021-03-15,4151,12.2300
Andorra,77265,2021-01-22,9416,12.1900
"San Marino",33938,2021-03-13,4126,12.1600
"San Marino",33938,2021-03-14,4126,12.1600
Montenegro,628062,2021-03-01,76283,12.1500
Andorra,77265,2021-01-21,9379,12.1400
Czechia,10708982,2021-03-05,1299002,12.1300
Montenegro,628062,2021-02-28,75834,12.0700
"San Marino",33938,2021-03-12,4096,12.0700
Andorra,77265,2021-01-20,9308,12.0500
Czechia,10708982,2021-03-04,1284288,11.9900
Montenegro,628062,2021-02-27,75332,11.9900
"San Marino",33938,2021-03-11,4062,11.9700
Montenegro,628062,2021-02-26,74789,11.9100
Andorra,77265,2021-01-19,9194,11.9000
"San Marino",33938,2021-03-10,4030,11.8700
Czechia,10708982,2021-03-03,1269058,11.8500
Montenegro,628062,2021-02-25,74183,11.8100
Andorra,77265,2021-01-17,9083,11.7600
Andorra,77265,2021-01-18,9083,11.7600
"San Marino",33938,2021-03-09,3984,11.7400
Montenegro,628062,2021-02-24,73612,11.7200
Andorra,77265,2021-01-16,9038,11.7000
Czechia,10708982,2021-03-02,1252242,11.6900
Montenegro,628062,2021-02-23,72969,11.6200
"San Marino",33938,2021-03-08,3935,11.5900
Czechia,10708982,2021-03-01,1240051,11.5800
Andorra,77265,2021-01-15,8946,11.5800
"San Marino",33938,2021-03-06,3922,11.5600
"San Marino",33938,2021-03-07,3922,11.5600
Slovenia,2078932,2021-04-30,240292,11.5600
Czechia,10708982,2021-02-28,1235480,11.5400
Montenegro,628062,2021-02-22,72395,11.5300
Slovenia,2078932,2021-04-29,239339,11.5100
"San Marino",33938,2021-03-05,3896,11.4800
Andorra,77265,2021-01-14,8868,11.4800
Slovenia,2078932,2021-04-28,238421,11.4700
Montenegro,628062,2021-02-21,71995,11.4600
Czechia,10708982,2021-02-27,1227595,11.4600
Slovenia,2078932,2021-04-27,238023,11.4500
Slovenia,2078932,2021-04-26,237219,11.4100
Andorra,77265,2021-01-13,8818,11.4100
Slovenia,2078932,2021-04-25,237028,11.4000
Montenegro,628062,2021-02-20,71593,11.4000
"San Marino",33938,2021-03-04,3867,11.3900
Slovenia,2078932,2021-04-24,236613,11.3800
Slovenia,2078932,2021-04-23,235711,11.3400
Czechia,10708982,2021-02-26,1212780,11.3200
Montenegro,628062,2021-02-19,71112,11.3200
Slovenia,2078932,2021-04-22,234811,11.2900
"San Marino",33938,2021-03-03,3829,11.2800
Slovenia,2078932,2021-04-21,234067,11.2600
Montenegro,628062,2021-02-18,70658,11.2500
Andorra,77265,2021-01-12,8682,11.2400
Slovenia,2078932,2021-04-20,233031,11.2100
Czechia,10708982,2021-02-25,1198168,11.1900
Slovenia,2078932,2021-04-19,232311,11.1700
"San Marino",33938,2021-03-02,3791,11.1700
Montenegro,628062,2021-02-17,70174,11.1700
Slovenia,2078932,2021-04-18,232071,11.1600
Slovenia,2078932,2021-04-17,231593,11.1400
Andorra,77265,2021-01-09,8586,11.1100
Andorra,77265,2021-01-10,8586,11.1100
Andorra,77265,2021-01-11,8586,11.1100
Montenegro,628062,2021-02-16,69770,11.1100
Slovenia,2078932,2021-04-16,230826,11.1000
Slovenia,2078932,2021-04-15,229967,11.0600
Czechia,10708982,2021-02-24,1184352,11.0600
"San Marino",33938,2021-03-01,3746,11.0400
Montenegro,628062,2021-02-15,69294,11.0300
Slovenia,2078932,2021-04-14,229076,11.0200
Andorra,77265,2021-01-08,8489,10.9900
Montenegro,628062,2021-02-14,68921,10.9700
Slovenia,2078932,2021-04-13,227836,10.9600
"San Marino",33938,2021-02-27,3716,10.9500
"San Marino",33938,2021-02-28,3716,10.9500
Slovenia,2078932,2021-04-12,226786,10.9100
Czechia,10708982,2021-02-23,1168491,10.9100
Montenegro,628062,2021-02-13,68476,10.9000
Slovenia,2078932,2021-04-11,226499,10.8900
Slovenia,2078932,2021-04-10,225950,10.8700
Montenegro,628062,2021-02-12,68004,10.8300
"San Marino",33938,2021-02-26,3671,10.8200
Slovenia,2078932,2021-04-09,224699,10.8100
Czechia,10708982,2021-02-22,1157180,10.8100
Andorra,77265,2021-01-06,8348,10.8000
Andorra,77265,2021-01-07,8348,10.8000
Czechia,10708982,2021-02-21,1153159,10.7700
Andorra,77265,2021-01-05,8308,10.7500
Slovenia,2078932,2021-04-08,223416,10.7500
Montenegro,628062,2021-02-11,67441,10.7400
Luxembourg,625976,2021-04-30,67205,10.7400
Luxembourg,625976,2021-04-29,67045,10.7100
Czechia,10708982,2021-02-20,1146321,10.7000
Andorra,77265,2021-01-04,8249,10.6800
Luxembourg,625976,2021-04-28,66826,10.6800
Slovenia,2078932,2021-04-07,221890,10.6700
"San Marino",33938,2021-02-25,3621,10.6700
Luxembourg,625976,2021-04-27,66594,10.6400
Montenegro,628062,2021-02-10,66857,10.6400
Slovenia,2078932,2021-04-06,220698,10.6200
Slovenia,2078932,2021-04-05,220425,10.6000
Luxembourg,625976,2021-04-26,66374,10.6000
Andorra,77265,2021-01-03,8192,10.6000
Czechia,10708982,2021-02-19,1134957,10.6000
Slovenia,2078932,2021-04-04,220141,10.5900
Andorra,77265,2021-01-02,8166,10.5700
"San Marino",33938,2021-02-24,3585,10.5600
Slovenia,2078932,2021-04-03,219420,10.5500
Montenegro,628062,2021-02-09,66234,10.5500
Luxembourg,625976,2021-04-23,66007,10.5400
Luxembourg,625976,2021-04-24,66007,10.5400
Luxembourg,625976,2021-04-25,66007,10.5400
Luxembourg,625976,2021-04-22,65813,10.5100
Andorra,77265,2021-01-01,8117,10.5100
Czechia,10708982,2021-02-18,1123252,10.4900
Slovenia,2078932,2021-04-02,218114,10.4900
Luxembourg,625976,2021-04-21,65604,10.4800
Montenegro,628062,2021-02-08,65657,10.4500
Slovenia,2078932,2021-04-01,216939,10.4400
Luxembourg,625976,2021-04-20,65319,10.4300
"San Marino",33938,2021-02-23,3538,10.4200
Andorra,77265,2020-12-31,8049,10.4200
Luxembourg,625976,2021-04-19,65144,10.4100
Bahrain,1701583,2021-04-30,176934,10.4000
Czechia,10708982,2021-02-17,1112322,10.3900
Montenegro,628062,2021-02-07,65227,10.3900
Slovenia,2078932,2021-03-31,215602,10.3700
Luxembourg,625976,2021-04-16,64746,10.3400
Luxembourg,625976,2021-04-17,64746,10.3400
Luxembourg,625976,2021-04-18,64746,10.3400
Andorra,77265,2020-12-30,7983,10.3300
Bahrain,1701583,2021-04-29,175752,10.3300
Luxembourg,625976,2021-04-15,64549,10.3100
Montenegro,628062,2021-02-06,64739,10.3100
Slovenia,2078932,2021-03-30,214045,10.3000
"San Marino",33938,2021-02-22,3494,10.3000
Luxembourg,625976,2021-04-14,64334,10.2800
Czechia,10708982,2021-02-16,1099654,10.2700
Bahrain,1701583,2021-04-28,174659,10.2600
Andorra,77265,2020-12-29,7919,10.2500
Slovenia,2078932,2021-03-29,212966,10.2400
Slovenia,2078932,2021-03-28,212678,10.2300
"San Marino",33938,2021-02-20,3472,10.2300
"San Marino",33938,2021-02-21,3472,10.2300
Luxembourg,625976,2021-04-13,64062,10.2300
Montenegro,628062,2021-02-05,64168,10.2200
Luxembourg,625976,2021-04-12,63880,10.2000
Slovenia,2078932,2021-03-27,212040,10.2000
Bahrain,1701583,2021-04-27,173548,10.2000
Czechia,10708982,2021-02-15,1090860,10.1900
Andorra,77265,2020-12-28,7875,10.1900
Czechia,10708982,2021-02-14,1088009,10.1600
Bahrain,1701583,2021-04-26,172576,10.1400
Luxembourg,625976,2021-04-09,63467,10.1400
Luxembourg,625976,2021-04-10,63467,10.1400
Luxembourg,625976,2021-04-11,63467,10.1400
Slovenia,2078932,2021-03-26,210785,10.1400
"San Marino",33938,2021-02-19,3440,10.1400
Serbia,6804596,2021-04-30,689557,10.1300
Montenegro,628062,2021-02-04,63633,10.1300
Andorra,77265,2020-12-27,7821,10.1200
Czechia,10708982,2021-02-13,1082849,10.1100
Serbia,6804596,2021-04-29,687944,10.1100
Andorra,77265,2020-12-26,7806,10.1000
Luxembourg,625976,2021-04-08,63180,10.0900
Slovenia,2078932,2021-03-25,209753,10.0900
"San Marino",33938,2021-02-18,3420,10.0800
Serbia,6804596,2021-04-28,685937,10.0800
Bahrain,1701583,2021-04-25,171370,10.0700
Serbia,6804596,2021-04-27,683799,10.0500
Montenegro,628062,2021-02-03,63118,10.0500
Andorra,77265,2020-12-25,7756,10.0400
Czechia,10708982,2021-02-12,1073966,10.0300
Luxembourg,625976,2021-04-07,62793,10.0300
Slovenia,2078932,2021-03-24,208588,10.0300
Serbia,6804596,2021-04-26,681654,10.0200
Bahrain,1701583,2021-04-24,170335,10.0100
"San Marino",33938,2021-02-17,3394,10.0000
Luxembourg,625976,2021-04-06,62625,10.0000
Serbia,6804596,2021-04-25,679667,9.9900
Slovenia,2078932,2021-03-23,207298,9.9700
Serbia,6804596,2021-04-24,677972,9.9600
Andorra,77265,2020-12-24,7699,9.9600
Bahrain,1701583,2021-04-23,169254,9.9500
Montenegro,628062,2021-02-02,62476,9.9500
Czechia,10708982,2021-02-11,1064952,9.9400
Andorra,77265,2020-12-23,7669,9.9300
Serbia,6804596,2021-04-23,675904,9.9300
Slovenia,2078932,2021-03-22,206317,9.9200
Luxembourg,625976,2021-04-02,62105,9.9200
Luxembourg,625976,2021-04-03,62105,9.9200
Luxembourg,625976,2021-04-04,62105,9.9200
Luxembourg,625976,2021-04-05,62105,9.9200
Slovenia,2078932,2021-03-21,206026,9.9100
Serbia,6804596,2021-04-22,673520,9.9000
Slovenia,2078932,2021-03-20,205509,9.8900
Luxembourg,625976,2021-04-01,61881,9.8900
Andorra,77265,2020-12-22,7633,9.8800
Bahrain,1701583,2021-04-22,168201,9.8800
"San Marino",33938,2021-02-16,3352,9.8800
Montenegro,628062,2021-02-01,61972,9.8700
Serbia,6804596,2021-04-21,670801,9.8600
Czechia,10708982,2021-02-10,1055415,9.8600
Luxembourg,625976,2021-03-31,61642,9.8500
Andorra,77265,2020-12-21,7602,9.8400
Slovenia,2078932,2021-03-19,204482,9.8400
Serbia,6804596,2021-04-20,667937,9.8200
Montenegro,628062,2021-01-31,61659,9.8200
Bahrain,1701583,2021-04-21,167165,9.8200
Andorra,77265,2020-12-20,7577,9.8100
Slovenia,2078932,2021-03-18,203544,9.7900
Luxembourg,625976,2021-03-30,61255,9.7900
Andorra,77265,2020-12-19,7560,9.7800
"San Marino",33938,2021-02-15,3317,9.7700
Serbia,6804596,2021-04-19,664972,9.7700
"United States",331002647,2021-04-30,32346971,9.7700
Luxembourg,625976,2021-03-29,61073,9.7600
Bahrain,1701583,2021-04-20,166157,9.7600
Czechia,10708982,2021-02-09,1045132,9.7600
"United States",331002647,2021-04-29,32289049,9.7500
"United States",331002647,2021-04-28,32230850,9.7400
Slovenia,2078932,2021-03-17,202573,9.7400
Montenegro,628062,2021-01-30,61202,9.7400
Andorra,77265,2020-12-18,7519,9.7300
Serbia,6804596,2021-04-18,662368,9.7300
"United States",331002647,2021-04-27,32175725,9.7200
"United States",331002647,2021-04-26,32124869,9.7100
Serbia,6804596,2021-04-17,660299,9.7000
Bahrain,1701583,2021-04-19,165118,9.7000
Czechia,10708982,2021-02-08,1037405,9.6900
Israel,8655541,2021-04-28,838323,9.6900
Israel,8655541,2021-04-29,838407,9.6900
Israel,8655541,2021-04-30,838481,9.6900
"United States",331002647,2021-04-25,32077178,9.6900
Slovenia,2078932,2021-03-16,201497,9.6900
"United States",331002647,2021-04-24,32045113,9.6800
Israel,8655541,2021-04-21,837492,9.6800
Israel,8655541,2021-04-22,837807,9.6800
Israel,8655541,2021-04-23,837892,9.6800
Israel,8655541,2021-04-24,837974,9.6800
Israel,8655541,2021-04-25,838024,9.6800
Israel,8655541,2021-04-26,838107,9.6800
Israel,8655541,2021-04-27,838217,9.6800
Montenegro,628062,2021-01-29,60827,9.6800
Israel,8655541,2021-04-14,836590,9.6700
Israel,8655541,2021-04-15,836902,9.6700
Israel,8655541,2021-04-16,836936,9.6700
Israel,8655541,2021-04-17,836883,9.6700
Israel,8655541,2021-04-18,837047,9.6700
Israel,8655541,2021-04-19,837218,9.6700
Israel,8655541,2021-04-20,837357,9.6700
"United States",331002647,2021-04-23,31991750,9.6700
Serbia,6804596,2021-04-16,657716,9.6700
"San Marino",33938,2021-02-12,3278,9.6600
"San Marino",33938,2021-02-13,3278,9.6600
"San Marino",33938,2021-02-14,3278,9.6600
Czechia,10708982,2021-02-07,1034975,9.6600
Andorra,77265,2020-12-17,7466,9.6600
Israel,8655541,2021-04-10,835813,9.6600
Israel,8655541,2021-04-11,835933,9.6600
Israel,8655541,2021-04-12,836158,9.6600
Israel,8655541,2021-04-13,836334,9.6600
Luxembourg,625976,2021-03-26,60465,9.6600
Luxembourg,625976,2021-03-27,60465,9.6600
Luxembourg,625976,2021-03-28,60465,9.6600
Israel,8655541,2021-04-06,834920,9.6500
Israel,8655541,2021-04-07,835216,9.6500
Israel,8655541,2021-04-08,835486,9.6500
Israel,8655541,2021-04-09,835674,9.6500
"United States",331002647,2021-04-22,31929351,9.6500
Slovenia,2078932,2021-03-15,200579,9.6500
Slovenia,2078932,2021-03-14,200374,9.6400
Sweden,10099270,2021-04-30,973604,9.6400
Israel,8655541,2021-04-03,834070,9.6400
Israel,8655541,2021-04-04,834247,9.6400
Israel,8655541,2021-04-05,834603,9.6400
Andorra,77265,2020-12-16,7446,9.6400
Bahrain,1701583,2021-04-18,164110,9.6400
"United States",331002647,2021-04-21,31862094,9.6300
Israel,8655541,2021-03-31,833105,9.6300
Israel,8655541,2021-04-01,833456,9.6300
Israel,8655541,2021-04-02,833707,9.6300
Israel,8655541,2021-03-30,832639,9.6200
Luxembourg,625976,2021-03-25,60205,9.6200
Czechia,10708982,2021-02-06,1030112,9.6200
Serbia,6804596,2021-04-15,654870,9.6200
"United States",331002647,2021-04-20,31799237,9.6100
Slovenia,2078932,2021-03-13,199854,9.6100
Israel,8655541,2021-03-26,831383,9.6100
Israel,8655541,2021-03-27,831383,9.6100
Israel,8655541,2021-03-28,831924,9.6100
Israel,8655541,2021-03-29,832125,9.6100
Israel,8655541,2021-03-25,830845,9.6000
Montenegro,628062,2021-01-28,60288,9.6000
Israel,8655541,2021-03-23,829689,9.5900
Israel,8655541,2021-03-24,830028,9.5900
"United States",331002647,2021-04-19,31737964,9.5900
Bahrain,1701583,2021-04-17,163113,9.5900
Serbia,6804596,2021-04-14,651899,9.5800
Sweden,10099270,2021-04-29,967678,9.5800
"United States",331002647,2021-04-18,31670031,9.5700
Slovenia,2078932,2021-03-12,199004,9.5700
"San Marino",33938,2021-02-11,3247,9.5700
Israel,8655541,2021-03-22,828764,9.5700
Luxembourg,625976,2021-03-24,59907,9.5700
Israel,8655541,2021-03-20,827220,9.5600
Israel,8655541,2021-03-21,827772,9.5600
"United States",331002647,2021-04-17,31628013,9.5600
Israel,8655541,2021-03-19,826609,9.5500
Andorra,77265,2020-12-14,7382,9.5500
Andorra,77265,2020-12-15,7382,9.5500
Czechia,10708982,2021-02-05,1021477,9.5400
"United States",331002647,2021-04-16,31575640,9.5400
Slovenia,2078932,2021-03-11,198234,9.5400
Israel,8655541,2021-03-18,825562,9.5400
Montenegro,628062,2021-01-27,59825,9.5300
Luxembourg,625976,2021-03-23,59662,9.5300
Bahrain,1701583,2021-04-16,162089,9.5300
Serbia,6804596,2021-04-13,648745,9.5300
"United States",331002647,2021-04-15,31495649,9.5200
