loop_id,timestamp,id,name,symbol,slug,infinite_supply,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,last_updated,tvl_ratio,platform,self_reported_circulating_supply,self_reported_market_cap,minted_market_cap,tags,quote.USD.price,quote.USD.volume_24h,quote.USD.cex_volume_24h,quote.USD.dex_volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.slug,platform.name,platform.symbol,platform.token_address
1,2026-05-07 20:07:08.487767,2010,Cardano,ADA,cardano,False,36193530883.92486,44993540553.74233,45000000000.0,2017-10-01T00:00:00.000Z,1706,11,2026-05-07T12:06:00.000Z,,,37997904336.0,10192968742.73116,12069553847.86,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",0.2682508133237793,514527020.236048,513613584.4329544,913435.80309372,-23.3168,0.27853219,-1.25748504,8.95622861,10.79638664,5.28684558,2.99503559,9708944096.672169,0.362,12071286599.57,,2026-05-07T12:06:00.000Z,,,,,
1,2026-05-07 20:07:08.487767,1437,Zcash,ZEC,zcash,False,16663832.7905448,16663748.9155448,21000000.0,2016-10-29T00:00:00.000Z,604,12,2026-05-07T12:05:00.000Z,,,,,9563463650.58,"['mineable', 'pow', 'equihash', 'medium-of-exchange', 'privacy', 'zero-knowledge-proofs', 'quantum-resistant', 'binance-chain', 'boostvc-portfolio', 'dcg-portfolio', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'winklevoss-capital-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'layer-1', 'standard-crypto-portfolio', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",573.908290327982,1150481875.542561,1134334153.4693952,16147722.07316608,-35.8382,0.42900899,-0.21039857,71.37823119,115.84012502,190.07072074,152.80630058,9563511787.13293,0.3563,12052074096.89,,2026-05-07T12:05:00.000Z,,,,,
1,2026-05-07 20:07:08.487767,3957,UNUS SED LEO,LEO,unus-sed-leo,False,920676774.9,985239504.0,,2019-05-21T00:00:00.000Z,68,13,2026-05-07T12:06:00.000Z,,,,,10197651199.35,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",10.350428660189698,427108.32467798,427108.32467798,0.0,-17.2465,-0.00242948,0.03011487,0.22280389,2.25892568,14.54560364,51.89016305,9529399277.69598,0.355,10197651199.35,,2026-05-07T12:06:00.000Z,1027.0,ethereum,Ethereum,ETH,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3
1,2026-05-07 20:07:08.487767,1831,Bitcoin Cash,BCH,bitcoin-cash,False,20031193.75,20031193.75,21000000.0,2017-07-23T00:00:00.000Z,1159,14,2026-05-07T12:05:00.000Z,,,,,9186413372.21,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",458.6053875199494,236201835.22819158,236183636.81043103,18198.41776055,-47.8271,-0.01989687,-2.92525644,3.15340843,6.06296601,2.17504624,-2.79508988,9186413372.205938,0.3425,9630713137.92,,2026-05-07T12:05:00.000Z,,,,,
1,2026-05-07 20:07:08.487767,328,Monero,XMR,monero,True,18446744.07370955,18446744.07370955,,2014-05-21T00:00:00.000Z,368,15,2026-05-07T12:04:00.000Z,,,,,7663187888.66,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', 'layer-1', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",415.42224785268866,195133588.45207262,195133588.45207262,0.0,-2.75,0.56407438,-3.26397192,10.18378648,26.11916176,20.768218,34.77801723,7663187888.663685,0.2857,7663187888.66,,2026-05-07T12:04:00.000Z,,,,,
2,2026-05-07 20:08:09.670831,1,Bitcoin,BTC,bitcoin,False,20025943.0,20025943.0,21000000.0,2010-07-13T00:00:00.000Z,12626,1,2026-05-07T12:06:00.000Z,,,,,1621345463695.08,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",80962.25299827752,35543934551.30403,35491395316.11191,52539235.19212031,-19.1118,-0.04030191,-1.68523425,6.36156243,18.65337093,19.89739295,22.06979459,1621345463695.0847,60.445,1700207312963.83,,2026-05-07T12:06:00.000Z,,,,,
2,2026-05-07 20:08:09.670831,1027,Ethereum,ETH,ethereum,True,120687104.06368364,120687104.06368364,,2015-08-07T00:00:00.000Z,11926,2,2026-05-07T12:06:00.000Z,,,,,281539184199.07,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",2332.802550722458,21694712519.299225,21556551939.534607,138160579.76462615,5.8508,0.09930235,-3.09948019,3.21289717,12.07223827,19.54665653,21.22685946,281539184199.06793,10.496,281539184199.07,,2026-05-07T12:06:00.000Z,,,,,
2,2026-05-07 20:08:09.670831,825,Tether USDt,USDT,tether,True,189651082316.74588,194203497624.11526,,2015-02-25T00:00:00.000Z,180717,3,2026-05-07T12:05:00.000Z,,,,,194161097912.71,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",0.999781673801345,123572753088.38232,120564093437.66565,3008659650.7164645,-14.9689,0.0006283,-0.00705154,0.01371728,-0.00552497,-0.01617542,0.11809935,189609676516.87283,7.0691,194161097912.71,,2026-05-07T12:05:00.000Z,1027.0,ethereum,Ethereum,ETH,0xdac17f958d2ee523a2206206994597c13d831ec7
2,2026-05-07 20:08:09.670831,1839,BNB,BNB,bnb,False,134785800.16,134785800.16,134785800.16,2017-07-25T00:00:00.000Z,3218,4,2026-05-07T12:06:00.000Z,,,,,87346559836.07,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",648.0397766855743,2044384379.7930214,2026693944.3759105,17690435.41711115,-6.9967,0.00740778,-0.6697625,5.24324829,8.53277168,4.42089306,2.23729672,87346559836.07285,3.2563,87346559836.07,,2026-05-07T12:06:00.000Z,,,,,
2,2026-05-07 20:08:09.670831,52,XRP,XRP,xrp,False,61796225236.0,99985670046.0,100000000000.0,2013-08-04T00:00:00.000Z,1830,5,2026-05-07T12:06:00.000Z,,,,,141061035310.24,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",1.410812521887808,2389842001.366779,2388796369.3646946,1045632.00208441,-11.4663,-0.02454461,-2.73161784,2.95787684,7.97136876,3.88680568,3.64256386,87182888368.34816,3.2502,141081252188.78,,2026-05-07T12:06:00.000Z,,,,,
